application_id,customer_token,application_ts,requested_amount_lkr,label_default_90d
APP_0053,CUST_0053,2026-03-03T22:54:22+05:30,25000,0
APP_0054,CUST_0054,2026-03-28T11:35:55+05:30,25000,0
APP_0055,CUST_0055,2026-03-20T11:10:59+05:30,5000,0
APP_0056,CUST_0056,2026-03-20T18:32:58+05:30,5000,0
APP_0057,CUST_0057,2026-03-11T11:13:36+05:30,25000,1
APP_0058,CUST_0058,2026-03-17T20:11:28+05:30,40000,1
APP_0059,CUST_0059,2026-03-01T08:16:18+05:30,40000,1
APP_0060,CUST_0060,2026-03-06T06:12:52+05:30,15000,0
APP_0061,CUST_0061,2026-03-04T17:55:24+05:30,100000,0
APP_0062,CUST_0062,2026-03-19T14:20:20+05:30,10000,0
APP_0063,CUST_0063,2026-03-18T04:44:17+05:30,40000,0
APP_0064,CUST_0064,2026-03-07T07:07:17+05:30,5000,0
APP_0065,CUST_0065,2026-03-23T22:55:01+05:30,25000,0
APP_0066,CUST_0066,2026-03-05T12:03:46+05:30,10000,1
APP_0067,CUST_0067,2026-03-17T23:11:58+05:30,60000,0
APP_0068,CUST_0068,2026-03-09T04:05:22+05:30,40000,1
APP_0069,CUST_0069,2026-03-26T23:27:52+05:30,15000,1
APP_0070,CUST_0070,2026-03-27T16:50:30+05:30,5000,0
APP_0071,CUST_0071,2026-03-15T19:17:58+05:30,60000,0
APP_0072,CUST_0072,2026-03-14T00:13:16+05:30,40000,0
APP_0073,CUST_0073,2026-03-09T10:37:05+05:30,15000,0
APP_0074,CUST_0074,2026-03-27T04:30:54+05:30,40000,0
APP_0075,CUST_0075,2026-03-17T08:05:15+05:30,60000,0
APP_0076,CUST_0076,2026-03-10T19:21:41+05:30,100000,0
APP_0077,CUST_0077,2026-03-20T18:49:52+05:30,60000,0
APP_0078,CUST_0078,2026-03-11T00:55:16+05:30,40000,0
APP_0079,CUST_0079,2026-03-02T17:45:51+05:30,5000,0
APP_0080,CUST_0080,2026-03-24T06:11:58+05:30,15000,0
APP_0081,CUST_0081,2026-03-30T17:02:17+05:30,15000,0
APP_0082,CUST_0082,2026-03-18T07:13:11+05:30,15000,1
APP_0083,CUST_0083,2026-03-06T07:01:18+05:30,10000,0
APP_0084,CUST_0084,2026-03-17T17:29:33+05:30,10000,0
APP_0085,CUST_0085,2026-03-30T23:00:24+05:30,100000,1
APP_0086,CUST_0086,2026-03-18T00:47:49+05:30,100000,0
APP_0087,CUST_0087,2026-03-07T03:41:52+05:30,25000,0
APP_0088,CUST_0088,2026-03-11T00:13:26+05:30,25000,0
APP_0089,CUST_0089,2026-03-22T09:33:33+05:30,100000,0
APP_0090,CUST_0090,2026-03-05T13:04:15+05:30,100000,0
APP_0091,CUST_0091,2026-03-20T13:11:06+05:30,25000,0
APP_0092,CUST_0092,2026-03-05T10:56:17+05:30,60000,1
APP_0093,CUST_0093,2026-03-07T12:00:37+05:30,5000,1
APP_0094,CUST_0094,2026-03-23T22:10:35+05:30,100000,0
APP_0095,CUST_0095,2026-03-31T00:32:04+05:30,100000,0
APP_0096,CUST_0096,2026-03-24T08:39:57+05:30,60000,0
APP_0097,CUST_0097,2026-03-08T21:39:04+05:30,40000,0
APP_0098,CUST_0098,2026-03-02T08:55:44+05:30,5000,0
APP_0099,CUST_0099,2026-03-06T07:44:17+05:30,40000,0
APP_0100,CUST_0100,2026-03-08T02:14:19+05:30,25000,0
APP_0101,CUST_0101,2026-03-10T18:57:53+05:30,100000,0
APP_0102,CUST_0102,2026-03-02T16:36:54+05:30,15000,0
APP_0103,CUST_0103,2026-03-25T15:53:45+05:30,10000,0
APP_0104,CUST_0104,2026-03-17T03:48:18+05:30,15000,0
APP_0105,CUST_0105,2026-03-07T16:42:42+05:30,5000,0
APP_0106,CUST_0106,2026-03-18T12:11:17+05:30,25000,0
APP_0107,CUST_0107,2026-03-26T10:04:12+05:30,25000,0
APP_0108,CUST_0108,2026-03-25T16:27:48+05:30,10000,0
APP_0109,CUST_0109,2026-03-26T17:55:45+05:30,40000,1
APP_0110,CUST_0110,2026-03-22T16:46:57+05:30,100000,0
APP_0111,CUST_0111,2026-03-01T12:34:54+05:30,100000,0
APP_0112,CUST_0112,2026-03-09T16:47:54+05:30,10000,0
APP_0113,CUST_0113,2026-03-07T04:12:08+05:30,40000,1
APP_0114,CUST_0114,2026-03-26T11:55:12+05:30,40000,0
APP_0115,CUST_0115,2026-03-06T11:37:35+05:30,40000,1
APP_0116,CUST_0116,2026-03-10T14:53:16+05:30,15000,1
APP_0117,CUST_0117,2026-03-06T01:52:53+05:30,40000,0
APP_0118,CUST_0118,2026-03-02T16:27:57+05:30,100000,0
APP_0119,CUST_0119,2026-03-04T09:49:48+05:30,25000,0
APP_0120,CUST_0120,2026-03-25T21:00:43+05:30,40000,0
APP_0121,CUST_0121,2026-03-14T18:56:40+05:30,25000,0
APP_0122,CUST_0122,2026-03-24T12:57:09+05:30,40000,0
APP_0123,CUST_0123,2026-03-26T17:35:00+05:30,15000,0
APP_0124,CUST_0124,2026-03-11T04:01:57+05:30,100000,0
APP_0125,CUST_0125,2026-03-21T13:25:02+05:30,5000,0
APP_0126,CUST_0126,2026-03-16T16:08:35+05:30,5000,0
APP_0127,CUST_0127,2026-03-22T03:03:02+05:30,5000,0
APP_0128,CUST_0128,2026-03-16T00:45:51+05:30,100000,1
APP_0129,CUST_0129,2026-03-08T19:56:36+05:30,60000,0
APP_0130,CUST_0130,2026-03-19T02:38:04+05:30,10000,0
APP_0131,CUST_0131,2026-03-07T23:54:47+05:30,25000,0
APP_0132,CUST_0132,2026-03-05T21:39:50+05:30,25000,0
APP_0133,CUST_0133,2026-03-09T05:40:12+05:30,60000,0
APP_0134,CUST_0134,2026-03-09T04:07:17+05:30,60000,0
APP_0135,CUST_0135,2026-03-26T08:43:24+05:30,25000,0
APP_0136,CUST_0136,2026-03-10T20:03:32+05:30,15000,0
APP_0137,CUST_0137,2026-03-19T02:21:56+05:30,5000,0
APP_0138,CUST_0138,2026-03-23T14:23:24+05:30,25000,0
APP_0139,CUST_0139,2026-03-19T23:47:37+05:30,15000,0
APP_0140,CUST_0140,2026-03-15T16:13:44+05:30,40000,0
APP_0141,CUST_0008,2026-03-12T10:17:04+05:30,5000,1
APP_0142,CUST_0018,2026-03-03T06:07:24+05:30,100000,0
APP_0143,CUST_0049,2026-03-07T14:56:35+05:30,100000,0
APP_0144,CUST_0059,2026-03-13T21:18:04+05:30,25000,1
APP_0145,CUST_0059,2026-03-26T07:45:54+05:30,40000,0
APP_0146,CUST_0021,2026-03-05T16:13:51+05:30,15000,1
APP_0147,CUST_0045,2026-03-10T05:36:40+05:30,25000,0
APP_0148,CUST_0018,2026-03-02T03:36:37+05:30,60000,1
APP_0149,CUST_0017,2026-03-05T09:34:01+05:30,40000,0
APP_0150,CUST_0005,2026-03-14T04:06:27+05:30,100000,1
APP_0151,CUST_0001,2026-03-17T19:08:25+05:30,40000,0
APP_0152,CUST_0059,2026-03-14T08:04:45+05:30,40000,1
APP_0153,CUST_0034,2026-03-12T21:47:53+05:30,5000,0
APP_0154,CUST_0017,2026-03-03T18:41:47+05:30,10000,0
APP_0155,CUST_0020,2026-03-16T03:21:25+05:30,40000,0
APP_0156,CUST_0019,2026-03-22T23:15:46+05:30,40000,0
APP_0157,CUST_0018,2026-03-18T04:17:07+05:30,100000,1
APP_0158,CUST_0017,2026-03-03T03:02:56+05:30,5000,1
APP_0159,CUST_0033,2026-03-28T02:01:07+05:30,10000,0
APP_0160,CUST_0016,2026-03-23T00:51:26+05:30,5000,0
APP_0161,CUST_0042,2026-03-22T07:31:24+05:30,60000,0
APP_0162,CUST_0054,2026-03-20T09:58:42+05:30,40000,0
APP_0163,CUST_0014,2026-03-12T11:27:50+05:30,15000,0
APP_0164,CUST_0057,2026-03-08T02:47:03+05:30,25000,0
APP_0165,CUST_0004,2026-03-07T15:14:58+05:30,5000,1
APP_0166,CUST_0048,2026-03-13T17:47:18+05:30,25000,1
APP_0167,CUST_0006,2026-03-19T19:45:33+05:30,100000,0
APP_0168,CUST_0019,2026-03-30T09:37:38+05:30,10000,0
APP_0169,CUST_0003,2026-03-23T15:18:05+05:30,10000,1
APP_0170,CUST_0029,2026-03-01T12:13:14+05:30,15000,0
APP_0171,CUST_0022,2026-03-27T21:23:12+05:30,15000,0
APP_0172,CUST_0057,2026-03-16T08:38:58+05:30,10000,0
APP_0173,CUST_0001,2026-03-17T14:41:27+05:30,25000,1
APP_0174,CUST_0018,2026-03-25T17:45:45+05:30,60000,0
APP_0175,CUST_0033,2026-03-01T13:46:04+05:30,5000,0
APP_0176,CUST_0006,2026-03-08T07:36:54+05:30,25000,0
APP_0177,CUST_0026,2026-03-02T10:12:27+05:30,15000,0
APP_0178,CUST_0015,2026-03-05T10:25:46+05:30,40000,0
APP_0179,CUST_0055,2026-03-08T20:52:54+05:30,60000,0
APP_0180,CUST_0051,2026-03-30T07:02:31+05:30,25000,0
