event_id,customer_token,event_ts,ingestion_ts,amount_lkr,is_reversal
RCH_01423,CUST_0053,2026-02-24T08:52:38+05:30,2026-02-24T12:11:04+05:30,500,0
RCH_00188,CUST_0053,2026-02-24T08:52:38+05:30,2026-02-24T12:11:04+05:30,500,0
RCH_01406,CUST_0054,2026-03-21T13:01:45+05:30,2026-03-21T16:47:54+05:30,50,0
RCH_00191,CUST_0054,2026-03-21T13:01:45+05:30,2026-03-21T16:47:54+05:30,50,0
RCH_00197,CUST_0061,2026-02-23T15:32:03+05:30,2026-02-23T18:46:05+05:30,1000,0
RCH_01435,CUST_0061,2026-02-23T15:32:03+05:30,2026-02-23T18:46:05+05:30,1000,0
RCH_00202,CUST_0062,2026-02-21T20:51:03+05:30,2026-02-22T01:35:14+05:30,500,0
RCH_01410,CUST_0062,2026-02-21T20:51:03+05:30,2026-02-22T01:35:14+05:30,500,0
RCH_01401,CUST_0075,2026-02-20T23:06:18+05:30,2026-02-21T02:58:04+05:30,200,0
RCH_00235,CUST_0075,2026-02-20T23:06:18+05:30,2026-02-21T02:58:04+05:30,200,0
RCH_00252,CUST_0081,2026-03-07T10:10:36+05:30,2026-03-07T14:25:13+05:30,100,0
RCH_01428,CUST_0081,2026-03-07T10:10:36+05:30,2026-03-07T14:25:13+05:30,100,0
RCH_00277,CUST_0088,2026-02-14T00:31:16+05:30,2026-02-14T04:35:42+05:30,200,0
RCH_01411,CUST_0088,2026-02-14T00:31:16+05:30,2026-02-14T04:35:42+05:30,200,0
RCH_00288,CUST_0089,2026-03-06T23:38:37+05:30,2026-03-07T00:25:47+05:30,500,0
RCH_01426,CUST_0089,2026-03-06T23:38:37+05:30,2026-03-07T00:25:47+05:30,500,0
RCH_01418,CUST_0092,2026-02-11T12:44:09+05:30,2026-02-11T18:23:15+05:30,1000,0
RCH_00296,CUST_0092,2026-02-11T12:44:09+05:30,2026-02-11T18:23:15+05:30,1000,0
RCH_00313,CUST_0097,2026-02-18T21:09:52+05:30,2026-02-19T00:43:10+05:30,200,0
RCH_01400,CUST_0097,2026-02-18T21:09:52+05:30,2026-02-19T00:43:10+05:30,200,0
RCH_00322,CUST_0100,2026-02-28T16:03:10+05:30,2026-02-28T17:12:27+05:30,50,0
RCH_01421,CUST_0100,2026-02-28T16:03:10+05:30,2026-02-28T17:12:27+05:30,50,0
RCH_00340,CUST_0106,2026-03-01T11:43:12+05:30,2026-03-01T14:13:53+05:30,100,0
RCH_01429,CUST_0106,2026-03-01T11:43:12+05:30,2026-03-01T14:13:53+05:30,100,0
RCH_01403,CUST_0107,2026-03-23T05:59:33+05:30,2026-03-23T07:14:38+05:30,50,0
RCH_00346,CUST_0107,2026-03-23T05:59:33+05:30,2026-03-23T07:14:38+05:30,50,0
RCH_01415,CUST_0108,2026-02-27T22:31:39+05:30,2026-02-27T23:31:55+05:30,200,0
RCH_00348,CUST_0108,2026-02-27T22:31:39+05:30,2026-02-27T23:31:55+05:30,200,0
RCH_01402,CUST_0108,2026-03-09T00:23:36+05:30,2026-03-09T02:05:23+05:30,200,0
RCH_00349,CUST_0108,2026-03-09T00:23:36+05:30,2026-03-09T02:05:23+05:30,200,0
RCH_00361,CUST_0110,2026-03-01T00:08:41+05:30,2026-03-01T01:25:54+05:30,50,0
RCH_01425,CUST_0110,2026-03-01T00:08:41+05:30,2026-03-01T01:25:54+05:30,50,0
RCH_01409,CUST_0114,2026-03-02T15:17:56+05:30,2026-03-02T17:08:32+05:30,50,0
RCH_00379,CUST_0114,2026-03-02T15:17:56+05:30,2026-03-02T17:08:32+05:30,50,0
RCH_00384,CUST_0115,2026-02-14T05:23:18+05:30,2026-02-14T10:53:17+05:30,300,0
RCH_01437,CUST_0115,2026-02-14T05:23:18+05:30,2026-02-14T10:53:17+05:30,300,0
RCH_00431,CUST_0130,2026-03-15T17:01:06+05:30,2026-03-15T19:51:51+05:30,500,0
RCH_01416,CUST_0130,2026-03-15T17:01:06+05:30,2026-03-15T19:51:51+05:30,500,0
RCH_00432,CUST_0131,2026-03-03T07:15:50+05:30,2026-03-03T10:26:31+05:30,200,0
RCH_01419,CUST_0131,2026-03-03T07:15:50+05:30,2026-03-03T10:26:31+05:30,200,0
RCH_01434,CUST_0132,2026-02-04T11:00:36+05:30,2026-02-04T16:34:31+05:30,100,0
RCH_00435,CUST_0132,2026-02-04T11:00:36+05:30,2026-02-04T16:34:31+05:30,100,0
RCH_00438,CUST_0132,2026-03-01T11:21:22+05:30,2026-03-01T15:16:01+05:30,500,0
RCH_01433,CUST_0132,2026-03-01T11:21:22+05:30,2026-03-01T15:16:01+05:30,500,0
RCH_01417,CUST_0135,2026-03-23T12:24:11+05:30,2026-03-23T14:58:42+05:30,500,0
RCH_00450,CUST_0135,2026-03-23T12:24:11+05:30,2026-03-23T14:58:42+05:30,500,0
